"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V10"
"162" 2020 165 0.5 61.374699 7.795581 0.254162 0.249667 -0.000542
"163" 2020 165 1 85.815201 11.427698 0.254002 0.249601 -0.000627
"164" 2020 165 1.5 116.663162 13.916443 0.253776 0.249514 -0.000699
"165" 2020 165 2 150.641296 16.148777 0.253476 0.249404 -0.000756
"166" 2020 165 2.5 187.090103 17.303486 0.253099 0.249268 -0.000801
"167" 2020 165 3 226.793091 18.25618 0.252635 0.249105 -0.000833
"168" 2020 165 3.5 251.020905 9.074355 0.252117 0.248924 -0.000834
"169" 2020 165 4 265.898621 7.550625 0.25156 0.248734 -0.000829
"170" 2020 165 4.5 280.080963 6.316579 0.250968 0.248535 -0.00082
"171" 2020 165 5 293.796692 5.138915 0.250343 0.248325 -0.000806
"172" 2020 165 5.5 306.741394 4.140283 0.249689 0.248107 -0.000786
"173" 2020 165 6 318.987061 3.23107 0.249012 0.247879 -0.000761
"174" 2020 165 6.5 319.343781 -5.023419 0.248335 0.247651 -0.000718
"175" 2020 165 7 314.567261 -8.541661 0.247672 0.247424 -0.000677
"176" 2020 165 7.5 309.682678 -11.472954 0.247026 0.2472 -0.000634
"177" 2020 165 8 298.176697 -12.874842 0.246407 0.246984 -0.000585
"178" 2020 165 8.5 290.430542 -15.10956 0.245805 0.246772 -0.000533
"179" 2020 165 9 274.386292 -14.475437 0.245228 0.246572 -0.000476
"180" 2020 165 9.5 254.934143 -26.726078 0.244654 0.246392 -0.000397
"181" 2020 165 10 220.139191 -28.777782 0.244101 0.246243 -0.000321
"182" 2020 165 10.5 182.505859 -30.425613 0.243572 0.246129 -0.000239
"183" 2020 165 11 144.902237 -32.991165 0.243073 0.246049 -0.000153
"184" 2020 165 11.5 60.715752 -63.23101 0.242678 0.246039 7e-05
"185" 2020 165 12 54.723682 -51.233795 0.242322 0.246029 6.5e-05
"186" 2020 165 12.5 50.157417 -49.35791 0.241996 0.24602 6.2e-05
"187" 2020 165 13 46.665817 -51.44109 0.241694 0.24601 6.1e-05
"188" 2020 165 13.5 43.334183 -54.134026 0.241414 0.246001 6e-05
"189" 2020 165 14 39.927116 -56.213955 0.241157 0.245993 5.9e-05
"190" 2020 165 14.5 36.507183 -57.643456 0.240922 0.245984 5.9e-05
"191" 2020 165 15 33.031921 -58.220726 0.240711 0.245976 5.8e-05
"192" 2020 165 15.5 29.701624 -52.367718 0.240523 0.245967 5.7e-05
"193" 2020 165 16 26.228359 -45.348824 0.240357 0.245959 5.7e-05
"194" 2020 165 16.5 22.783445 -38.182278 0.240215 0.245951 5.6e-05
"195" 2020 165 17 19.43277 -31.254641 0.240095 0.245944 5.5e-05
"196" 2020 165 17.5 16.209417 -24.74608 0.239996 0.245936 5.4e-05
"197" 2020 165 18 13.143291 -18.78602 0.239918 0.245929 5.3e-05
"198" 2020 165 18.5 18.388382 -23.009804 0.239806 0.245921 5.2e-05
"199" 2020 165 19 23.312674 -25.826334 0.23966 0.245913 5.1e-05
"200" 2020 165 19.5 28.187952 -28.508381 0.239482 0.245905 4.9e-05
"201" 2020 165 20 33.013294 -31.21147 0.239273 0.245896 4.8e-05
"202" 2020 165 20.5 37.712196 -33.764534 0.239032 0.245887 4.6e-05
"203" 2020 165 21 42.448696 -36.578575 0.23876 0.245877 4.5e-05
"204" 2020 165 21.5 54.951675 -35.128349 0.238496 0.245854 -4.2e-05
"205" 2020 165 22 69.693581 -37.757381 0.238229 0.245816 -0.000119
"206" 2020 165 22.5 85.659569 -41.692928 0.237956 0.245763 -0.000198
"207" 2020 165 23 102.818764 -46.89389 0.23767 0.245694 -0.000273
"208" 2020 165 23.5 119.738754 -52.08625 0.237367 0.24561 -0.000343
"209" 2020 166 0 136.830322 -57.845238 0.237043 0.245512 -0.000404
"210" 2020 166 0.5 160.773712 -42.597759 0.236687 0.245395 -0.000478
"211" 2020 166 1 186.522461 -30.785845 0.236293 0.245256 -0.000544
"212" 2020 166 1.5 212.288879 -19.710424 0.235855 0.245098 -0.000601
"213" 2020 166 2 243.159485 -12.497514 0.235363 0.244916 -0.000651
"214" 2020 166 2.5 278.187256 -6.85221 0.23481 0.244706 -0.000689
"215" 2020 166 3 313.501984 -0.101266 0.23419 0.24447 -0.000714
"216" 2020 166 3.5 334.411469 -6.409383 0.233527 0.244219 -0.000706
"217" 2020 166 4 345.894623 -2.650412 0.23283 0.24396 -0.000689
"218" 2020 166 4.5 354.915405 3.252857 0.232102 0.243696 -0.000667
"219" 2020 166 5 362.287476 10.316501 0.231346 0.243428 -0.000639
"220" 2020 166 5.5 366.272583 19.703531 0.230563 0.24316 -0.000602
"221" 2020 166 6 364.844666 33.011242 0.229753 0.242896 -0.000554
"222" 2020 166 6.5 337.695007 35.46954 0.228945 0.24266 -0.000472
"223" 2020 166 7 297.291748 50.051304 0.228157 0.242462 -0.000378
"224" 2020 166 7.5 245.101974 73.409645 0.227396 0.242313 -0.000257
"225" 2020 166 8 210.711212 83.013596 0.226671 0.242195 -0.000179
"226" 2020 166 8.5 200.317993 74.315941 0.22598 0.242083 -0.000159
"227" 2020 166 9 193.121521 62.696609 0.225326 0.241973 -0.000155
"228" 2020 166 9.5 177.706818 44.207249 0.224723 0.241871 -0.000157
"229" 2020 166 10 157.82901 28.780602 0.224174 0.241782 -0.00015
"230" 2020 166 10.5 136.813873 13.130915 0.223674 0.241708 -0.000135
"231" 2020 166 11 114.761101 -2.09826 0.223222 0.241649 -0.000107
"232" 2020 166 11.5 54.092003 -53.988762 0.222888 0.241637 5.5e-05
"233" 2020 166 12 44.838287 -30.927061 0.22261 0.241626 4.8e-05
"234" 2020 166 12.5 42.398148 -28.226925 0.222347 0.241615 4.5e-05
"235" 2020 166 13 40.396938 -28.003418 0.222097 0.241605 4.3e-05
"236" 2020 166 13.5 38.585598 -28.167952 0.221859 0.241595 4.1e-05
"237" 2020 166 14 36.986267 -28.445711 0.221632 0.241585 3.9e-05
"238" 2020 166 14.5 35.515442 -28.623039 0.221414 0.241575 3.8e-05
"239" 2020 166 15 34.179867 -28.757904 0.221204 0.241565 3.6e-05
"240" 2020 166 15.5 32.428913 -27.127693 0.221007 0.241555 3.5e-05
"241" 2020 166 16 30.884186 -26.005436 0.220819 0.241545 3.4e-05
"242" 2020 166 16.5 29.464653 -24.883488 0.22064 0.241536 3.4e-05
"243" 2020 166 17 28.183706 -23.781977 0.220471 0.241527 3.3e-05
"244" 2020 166 17.5 26.980965 -22.575176 0.220308 0.241518 3.2e-05
"245" 2020 166 18 25.864002 -21.313454 0.220154 0.241508 3.2e-05
"246" 2020 166 18.5 24.687342 -19.960808 0.220007 0.2415 3.1e-05
"247" 2020 166 19 23.538502 -18.44812 0.219867 0.241491 3.1e-05
"248" 2020 166 19.5 22.363388 -16.803764 0.219735 0.241482 3e-05
"249" 2020 166 20 21.164598 -15.104188 0.219611 0.241473 3e-05
"250" 2020 166 20.5 19.921772 -13.375939 0.219495 0.241465 3e-05
"251" 2020 166 21 18.607145 -11.620226 0.219387 0.241456 2.9e-05
"252" 2020 166 21.5 23.640636 -10.939351 0.219369 0.24144 -3.4e-05
"253" 2020 166 22 19.924297 -8.952632 0.219477 0.241428 -9.2e-05
"254" 2020 166 22.5 27.140934 -9.738782 0.219669 0.241414 -0.00016
"255" 2020 166 23 33.669495 -9.539072 0.219941 0.241399 -0.000223
"256" 2020 166 23.5 40.195419 -9.777091 0.220288 0.241385 -0.000283
"257" 2020 167 0 43.397156 -9.896167 0.220709 0.241369 -0.000337
"258" 2020 167 0.5 55.992073 -6.538045 0.22115 0.241352 -0.000405
"259" 2020 167 1 72.804459 -4.604954 0.2216 0.24133 -0.000474
"260" 2020 167 1.5 77.350464 1.205178 0.222057 0.241301 -0.000528
