"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V10"
"203" 2020 165 21 21.397516 -28.869858 0.21526 0.22988 5e-05
"204" 2020 165 21.5 30.932543 -29.592003 0.215176 0.229851 -5.4e-05
"205" 2020 165 22 35.36837 -29.674973 0.215119 0.229817 -0.000158
"206" 2020 165 22.5 44.874954 -31.672424 0.215073 0.229775 -0.000274
"207" 2020 165 23 55.819962 -33.557953 0.21503 0.229726 -0.000395
"208" 2020 165 23.5 66.107246 -34.014294 0.214988 0.22967 -0.000514
"209" 2020 166 0 77.751442 -35.167946 0.214941 0.229606 -0.000627
"210" 2020 166 0.5 88.58963 -17.336033 0.214886 0.229535 -0.000752
"211" 2020 166 1 103.651688 -5.680763 0.214814 0.229453 -0.000882
"212" 2020 166 1.5 117.848213 4.011998 0.214725 0.229361 -0.001004
"213" 2020 166 2 130.908279 11.686518 0.214619 0.22926 -0.001112
"214" 2020 166 2.5 142.889008 17.166359 0.214507 0.229149 -0.001191
"215" 2020 166 3 292.998688 -25.760592 0.214151 0.228946 -0.001243
"216" 2020 166 3.5 292.268433 -12.709127 0.213774 0.228745 -0.001254
"217" 2020 166 4 296.652191 -6.574391 0.213384 0.228542 -0.00126
"218" 2020 166 4.5 300.231842 -0.831721 0.212987 0.228337 -0.001252
"219" 2020 166 5 301.894928 4.74304 0.212587 0.228132 -0.001218
"220" 2020 166 5.5 301.159149 10.282421 0.212193 0.227926 -0.001151
"221" 2020 166 6 311.087677 12.574563 0.211785 0.227714 -0.001047
"222" 2020 166 6.5 308.409454 8.623166 0.211374 0.227505 -0.000921
"223" 2020 166 7 313.453491 4.151237 0.210947 0.227293 -0.000852
"224" 2020 166 7.5 320.064423 -0.223075 0.210516 0.227077 -0.000818
"225" 2020 166 8 322.422028 -4.063215 0.210087 0.226859 -0.000777
"226" 2020 166 8.5 320.685547 -7.911825 0.209666 0.226641 -0.000729
"227" 2020 166 9 314.192627 -11.543087 0.209253 0.226428 -0.000669
